Indicator,Geographic Area,Geographic Identifier,Race,Sex,Age,Time Period,n (Unweighted),Estimate % (weighted),2.5%,97.5%
Past infection with or without vaccination,Midwest,2,Overall,Overall,16 to 29,2022 Quarter 1,489,65.86,60.29,71.02
Past infection with or without vaccination,Midwest,2,Overall,Overall,30 to 49,2022 Quarter 1,2918,62.3,58.73,65.74
Past infection with or without vaccination,Midwest,2,Overall,Overall,50 to 64,2022 Quarter 1,4670,54.71,51.63,57.75
Past infection with or without vaccination,Midwest,2,Overall,Overall,65 and over,2022 Quarter 1,2649,33.66,31.11,36.3
Past infection with or without vaccination,South,3,Overall,Overall,16 to 29,2022 Quarter 1,324,64.75,49.49,77.51
Past infection with or without vaccination,South,3,Overall,Overall,30 to 49,2022 Quarter 1,1912,60.41,54.36,66.16
Past infection with or without vaccination,South,3,Overall,Overall,50 to 64,2022 Quarter 1,2908,49.07,37.3,60.95
Past infection with or without vaccination,South,3,Overall,Overall,65 and over,2022 Quarter 1,1431,25.16,17.25,35.16
Past infection with or without vaccination,West,4,Overall,Overall,16 to 29,2022 Quarter 1,1177,54.95,52.14,57.72
Past infection with or without vaccination,West,4,Overall,Overall,30 to 49,2022 Quarter 1,4545,50.82,48.78,52.86
Past infection with or without vaccination,West,4,Overall,Overall,50 to 64,2022 Quarter 1,5570,41.86,40.06,43.68
Past infection with or without vaccination,West,4,Overall,Overall,65 and over,2022 Quarter 1,2814,23.29,21.88,24.77
Past infection with or without vaccination,Northeast,1,Hispanic,Overall,Overall,2022 Quarter 1,48,38.38,26.66,51.62
Past infection with or without vaccination,Northeast,1,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,28,42.5,25.95,60.93
Past infection with or without vaccination,Northeast,1,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,34,57.05,38.37,73.91
Past infection with or without vaccination,Northeast,1,Non-Hispanic White,Overall,Overall,2022 Quarter 1,3077,41.3,39.05,43.59
Past infection with or without vaccination,Northeast,1,Other,Overall,Overall,2022 Quarter 1,22,40.76,21.67,63.11
Past infection with or without vaccination,Midwest,2,Hispanic,Overall,Overall,2022 Quarter 1,129,53.04,43.85,62.04
Past infection with or without vaccination,Midwest,2,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,31,26.27,16.16,39.72
Past infection with or without vaccination,Midwest,2,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,49,54.63,40.79,67.79
Past infection with or without vaccination,Midwest,2,Non-Hispanic White,Overall,Overall,2022 Quarter 1,10463,57.04,55.56,58.51
Past infection with or without vaccination,Midwest,2,Other,Overall,Overall,2022 Quarter 1,54,49.37,34.79,64.06
Past infection with or without vaccination,South,3,Hispanic,Overall,Overall,2022 Quarter 1,589,60,55.94,63.92
Past infection with or without vaccination,South,3,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,58,40,31.18,49.52
Past infection with or without vaccination,South,3,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,239,51.2,45.55,56.83
Past infection with or without vaccination,South,3,Non-Hispanic White,Overall,Overall,2022 Quarter 1,5639,50.13,41.24,59.01
Past infection with or without vaccination,South,3,Other,Overall,Overall,2022 Quarter 1,50,34.41,25.1,45.1
Past infection with or without vaccination,West,4,Hispanic,Overall,Overall,2022 Quarter 1,1964,51.76,49.32,54.2
Past infection with or without vaccination,West,4,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,441,30.3,26.9,33.92
Past infection with or without vaccination,West,4,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,172,43.54,36.22,51.15
Past infection with or without vaccination,West,4,Non-Hispanic White,Overall,Overall,2022 Quarter 1,11149,42.78,41.78,43.79
Past infection with or without vaccination,West,4,Other,Overall,Overall,2022 Quarter 1,380,47.21,41.21,53.28
Presumed vaccination without infection,Northeast,1,Overall,Overall,Overall,2022 Quarter 1,5152,50.74,48.27,53.22
Presumed vaccination without infection,Midwest,2,Overall,Overall,Overall,2022 Quarter 1,8000,37.94,36.31,39.6
Presumed vaccination without infection,South,3,Overall,Overall,Overall,2022 Quarter 1,6390,40.05,34.56,45.8
Presumed vaccination without infection,West,4,Overall,Overall,Overall,2022 Quarter 1,16780,48.59,47.51,49.66
Presumed vaccination without infection,Northeast,1,Overall,Female,Overall,2022 Quarter 1,2673,50.11,46.32,53.91
Presumed vaccination without infection,Northeast,1,Overall,Male,Overall,2022 Quarter 1,2479,51.42,47.7,55.12
Presumed vaccination without infection,Midwest,2,Overall,Female,Overall,2022 Quarter 1,4226,36.86,34.22,39.59
Presumed vaccination without infection,Midwest,2,Overall,Male,Overall,2022 Quarter 1,3774,39.07,36.73,41.45
Presumed vaccination without infection,South,3,Overall,Female,Overall,2022 Quarter 1,3027,42.02,34.61,49.8
Presumed vaccination without infection,South,3,Overall,Male,Overall,2022 Quarter 1,3363,38.09,30.13,46.74
Presumed vaccination without infection,West,4,Overall,Female,Overall,2022 Quarter 1,8317,49.5,47.92,51.08
Presumed vaccination without infection,West,4,Overall,Male,Overall,2022 Quarter 1,8463,47.66,46.15,49.17
Presumed vaccination without infection,Northeast,1,Overall,Overall,16 to 29,2022 Quarter 1,119,40.47,32.31,49.19
Presumed vaccination without infection,Northeast,1,Overall,Overall,30 to 49,2022 Quarter 1,718,44.79,40.16,49.51
Presumed vaccination without infection,Northeast,1,Overall,Overall,50 to 64,2022 Quarter 1,1991,47.58,41.27,53.97
Presumed vaccination without infection,Northeast,1,Overall,Overall,65 and over,2022 Quarter 1,2324,72.68,68.71,76.31
Presumed vaccination without infection,Midwest,2,Overall,Overall,16 to 29,2022 Quarter 1,233,27.15,23.05,31.67
Presumed vaccination without infection,Midwest,2,Overall,Overall,30 to 49,2022 Quarter 1,1202,30.37,27.15,33.79
Presumed vaccination without infection,Midwest,2,Overall,Overall,50 to 64,2022 Quarter 1,2735,37.59,34.67,40.61
Presumed vaccination without infection,Midwest,2,Overall,Overall,65 and over,2022 Quarter 1,3830,61,58.54,63.41
Presumed vaccination without infection,South,3,Overall,Overall,16 to 29,2022 Quarter 1,208,29,18.44,42.45
Presumed vaccination without infection,South,3,Overall,Overall,30 to 49,2022 Quarter 1,1074,33.41,27.35,40.08
Presumed vaccination without infection,South,3,Overall,Overall,50 to 64,2022 Quarter 1,2302,44.59,33.08,56.72
Presumed vaccination without infection,South,3,Overall,Overall,65 and over,2022 Quarter 1,2806,54.6,34.89,72.97
Presumed vaccination without infection,West,4,Overall,Overall,16 to 29,2022 Quarter 1,1012,39.27,36.6,42.01
Overall,Overall,USA,Overall,Female,Overall,2022 Quarter 4,33253,100,,
Presumed vaccination without infection,West,4,Overall,Overall,30 to 49,2022 Quarter 1,3405,42.66,40.59,44.75
Presumed vaccination without infection,West,4,Overall,Overall,50 to 64,2022 Quarter 1,5963,49.47,47.61,51.32
Presumed vaccination without infection,West,4,Overall,Overall,65 and over,2022 Quarter 1,6400,69.07,67.45,70.66
Presumed vaccination without infection,Northeast,1,Hispanic,Overall,Overall,2022 Quarter 1,66,55.18,41.94,67.73
Presumed vaccination without infection,Northeast,1,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,45,57.5,39.07,74.05
Presumed vaccination without infection,Northeast,1,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,29,33.84,19.57,51.81
Presumed vaccination without infection,Northeast,1,Non-Hispanic White,Overall,Overall,2022 Quarter 1,4980,50.56,48.74,52.37
Presumed vaccination without infection,Northeast,1,Other,Overall,Overall,2022 Quarter 1,32,58.9,36.71,77.98
Presumed vaccination without infection,Midwest,2,Hispanic,Overall,Overall,2022 Quarter 1,89,42.93,34.2,52.12
Presumed vaccination without infection,Midwest,2,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,60,67.08,53.44,78.35
Presumed vaccination without infection,Midwest,2,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,39,41.52,28.99,55.25
Presumed vaccination without infection,Midwest,2,Non-Hispanic White,Overall,Overall,2022 Quarter 1,7771,35.49,34.26,36.75
Presumed vaccination without infection,Midwest,2,Other,Overall,Overall,2022 Quarter 1,41,41.62,28.34,56.24
Presumed vaccination without infection,South,3,Hispanic,Overall,Overall,2022 Quarter 1,408,34.79,30.99,38.79
Presumed vaccination without infection,South,3,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,84,52.06,43.4,60.59
Presumed vaccination without infection,South,3,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,237,45.3,39.71,51.01
Presumed vaccination without infection,South,3,Non-Hispanic White,Overall,Overall,2022 Quarter 1,5592,39.58,31.72,48.02
Presumed vaccination without infection,South,3,Other,Overall,Overall,2022 Quarter 1,69,47.9,36.73,59.28
Presumed vaccination without infection,West,4,Hispanic,Overall,Overall,2022 Quarter 1,1947,42.58,40.09,45.11
Presumed vaccination without infection,West,4,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,1065,66.19,62.28,69.89
Presumed vaccination without infection,West,4,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,224,53.88,46.29,61.29
Presumed vaccination without infection,West,4,Non-Hispanic White,Overall,Overall,2022 Quarter 1,13113,48.53,47.58,49.48
Presumed vaccination without infection,West,4,Other,Overall,Overall,2022 Quarter 1,431,43.49,37.2,50
Neither past infection nor vaccination,Northeast,1,Overall,Overall,Overall,2022 Quarter 1,391,6.92,5.4,8.82
Neither past infection nor vaccination,Midwest,2,Overall,Overall,Overall,2022 Quarter 1,947,6.82,5.79,8.03
Neither past infection nor vaccination,South,3,Overall,Overall,Overall,2022 Quarter 1,858,8.93,4.56,16.75
Neither past infection nor vaccination,West,4,Overall,Overall,Overall,2022 Quarter 1,2485,7.01,6.46,7.6
Neither past infection nor vaccination,Northeast,1,Overall,Female,Overall,2022 Quarter 1,199,6.47,4.63,8.99
Neither past infection nor vaccination,Northeast,1,Overall,Male,Overall,2022 Quarter 1,192,7.4,5.02,10.78
Neither past infection nor vaccination,Midwest,2,Overall,Female,Overall,2022 Quarter 1,484,6.69,5.28,8.44
Neither past infection nor vaccination,Midwest,2,Overall,Male,Overall,2022 Quarter 1,463,6.96,5.62,8.58
Neither past infection nor vaccination,South,3,Overall,Female,Overall,2022 Quarter 1,373,12.04,4.66,27.73
Neither past infection nor vaccination,South,3,Overall,Male,Overall,2022 Quarter 1,485,5.83,4.66,7.27
Neither past infection nor vaccination,West,4,Overall,Female,Overall,2022 Quarter 1,1090,6.46,5.71,7.31
Neither past infection nor vaccination,West,4,Overall,Male,Overall,2022 Quarter 1,1395,7.57,6.75,8.48
Neither past infection nor vaccination,Northeast,1,Overall,Overall,16 to 29,2022 Quarter 1,10,5.77,2.97,10.93
Neither past infection nor vaccination,Northeast,1,Overall,Overall,30 to 49,2022 Quarter 1,91,8.66,5.89,12.55
Neither past infection nor vaccination,Northeast,1,Overall,Overall,50 to 64,2022 Quarter 1,194,6.36,4.02,9.93
Neither past infection nor vaccination,Northeast,1,Overall,Overall,65 and over,2022 Quarter 1,96,5.39,2.82,10.06
Neither past infection nor vaccination,Midwest,2,Overall,Overall,16 to 29,2022 Quarter 1,37,6.82,4.18,10.92
Neither past infection nor vaccination,Midwest,2,Overall,Overall,30 to 49,2022 Quarter 1,218,7.32,5.51,9.66
Neither past infection nor vaccination,Midwest,2,Overall,Overall,50 to 64,2022 Quarter 1,414,7.49,5.83,9.58
Neither past infection nor vaccination,Midwest,2,Overall,Overall,65 and over,2022 Quarter 1,278,5.09,4.31,6.01
Neither past infection nor vaccination,South,3,Overall,Overall,16 to 29,2022 Quarter 1,27,6.25,3.47,10.99
Neither past infection nor vaccination,South,3,Overall,Overall,30 to 49,2022 Quarter 1,192,6,4.59,7.81
Neither past infection nor vaccination,South,3,Overall,Overall,50 to 64,2022 Quarter 1,427,6.3,4.79,8.24
Neither past infection nor vaccination,South,3,Overall,Overall,65 and over,2022 Quarter 1,212,20.2,4.96,55.08
Neither past infection nor vaccination,West,4,Overall,Overall,16 to 29,2022 Quarter 1,101,5.75,4.32,7.61
Neither past infection nor vaccination,West,4,Overall,Overall,30 to 49,2022 Quarter 1,586,6.51,5.6,7.56
Neither past infection nor vaccination,West,4,Overall,Overall,50 to 64,2022 Quarter 1,1093,8.52,7.53,9.62
Neither past infection nor vaccination,West,4,Overall,Overall,65 and over,2022 Quarter 1,705,7.43,6.41,8.61
Neither past infection nor vaccination,Northeast,1,Hispanic,Overall,Overall,2022 Quarter 1,5,6.17,1.87,18.51
Neither past infection nor vaccination,Northeast,1,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,0,0,,
Neither past infection nor vaccination,Northeast,1,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,3,9.11,2.38,29.15
Neither past infection nor vaccination,Northeast,1,Non-Hispanic White,Overall,Overall,2022 Quarter 1,382,7.98,6.63,9.58
Neither past infection nor vaccination,Northeast,1,Other,Overall,Overall,2022 Quarter 1,1,0.34,0.06,2.06
Neither past infection nor vaccination,Midwest,2,Hispanic,Overall,Overall,2022 Quarter 1,8,3.75,1.63,8.37
Neither past infection nor vaccination,Midwest,2,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,4,6.65,2.25,18.08
Neither past infection nor vaccination,Midwest,2,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,3,3.85,1.1,12.64
Neither past infection nor vaccination,Midwest,2,Non-Hispanic White,Overall,Overall,2022 Quarter 1,928,7.32,6.33,8.45
Neither past infection nor vaccination,Midwest,2,Other,Overall,Overall,2022 Quarter 1,4,9.01,2.15,30.91
Neither past infection nor vaccination,South,3,Hispanic,Overall,Overall,2022 Quarter 1,44,5.21,3.3,8.16
Neither past infection nor vaccination,South,3,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,7,7.95,3.77,15.97
Neither past infection nor vaccination,South,3,Non-Hispanic Black,Overall,Overall,2022 Quarter 1,12,3.32,1.49,7.26
Neither past infection nor vaccination,South,3,Non-Hispanic White,Overall,Overall,2022 Quarter 1,781,10.2,4.35,22.09
Neither past infection nor vaccination,South,3,Other,Overall,Overall,2022 Quarter 1,14,17.69,9.1,31.57
Neither past infection nor vaccination,West,4,Hispanic,Overall,Overall,2022 Quarter 1,190,5.51,4.22,7.15
Neither past infection nor vaccination,West,4,Non-Hispanic Asian,Overall,Overall,2022 Quarter 1,36,3.42,2.03,5.7
